name,freq,rank
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorUtils_java,23,123
org.apache.hive.jdbc.Utils_java,23,123
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2_java,23,123
org.apache.hadoop.hive.llap.io.api.impl.LlapInputFormat_java,23,123
org.apache.hadoop.hive.ql.parse.TaskCompiler_java,22,129
org.apache.hadoop.hive.ql.txn.compactor.Initiator_java,22,129
org.apache.hive.service.cli.operation.Operation_java,22,129
org.apache.hadoop.hive.ql.io.orc.OrcRawRecordMerger_java,22,129
org.apache.hadoop.hive.ql.io.orc.OrcFile_java,22,129
org.apache.hadoop.hive.ql.exec.SelectOperator_java,22,129
org.apache.hadoop.hive.llap.cache.BuddyAllocator_java,22,129
org.apache.hadoop.hive.llap.io.decode.OrcEncodedDataConsumer_java,22,129
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager_java,21,137
org.apache.hadoop.hive.ql.optimizer.StatsOptimizer_java,21,137
org.apache.hive.hcatalog.templeton.AppConfig_java,21,137
org.apache.hadoop.hive.ql.optimizer.SortedDynPartitionOptimizer_java,21,137
org.apache.hadoop.hive.ql.parse.ExplainSemanticAnalyzer_java,21,137
org.apache.hadoop.hive.ql.hooks.ATSHook_java,21,137
org.apache.hadoop.hive.ql.plan.TezWork_java,21,137
org.apache.hadoop.hive.ql.parse.ParseContext_java,21,137
org.apache.hadoop.hive.ql.optimizer.calcite.translator.RexNodeConverter_java,20,145
org.apache.hadoop.hive.llap.io.api.impl.LlapIoImpl_java,20,145
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator_java,20,145
org.apache.hadoop.hive.ql.TestTxnCommands_java,20,145
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory_java,20,145
org.apache.hadoop.hive.ql.io.sarg.SearchArgumentImpl_java,20,145
org.apache.hadoop.hive.ql.exec.StatsTask_java,20,145
org.apache.hadoop.hive.ql.optimizer.DynamicPartitionPruningOptimization_java,20,145
org.apache.hive.hcatalog.streaming.HiveEndPoint_java,20,145
org.apache.hadoop.hive.ql.optimizer.ReduceSinkMapJoinProc_java,20,145
org.apache.hadoop.hive.ql.exec.persistence.MapJoinBytesTableContainer_java,20,145
org.apache.hadoop.hive.ql.exec.tez.ReduceRecordSource_java,20,145
org.apache.hadoop.hive.ql.exec.vector.expressions.ConstantVectorExpression_java,20,145
org.apache.hadoop.hive.ql.parse.GenTezProcContext_java,20,145
org.apache.hadoop.hive.ql.exec.HashTableSinkOperator_java,20,145
org.apache.hive.beeline.BeeLineOpts_java,20,145
org.apache.hadoop.hive.ql.exec.vector.VectorizedBatchUtil_java,20,145
org.apache.hadoop.hive.metastore.RawStore_java,19,162
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.Operation2Privilege_java,19,162
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinOperator_java,19,162
org.apache.hive.hcatalog.listener.DbNotificationListener_java,19,162
org.apache.hadoop.hive.ql.exec.CommonMergeJoinOperator_java,19,162
org.apache.hadoop.hive.ql.optimizer.physical.CommonJoinTaskDispatcher_java,19,162
org.apache.hadoop.hive.llap.tezplugins.LlapTaskCommunicator_java,19,162
org.apache.hive.spark.client.SparkClientImpl_java,19,162
org.apache.hadoop.hive.ql.exec.persistence.HybridHashTableContainer_java,19,162
org.apache.hadoop.hive.ql.security.authorization.StorageBasedAuthorizationProvider_java,19,162
org.apache.hadoop.hive.ql.exec.spark.RemoteHiveSparkClient_java,19,162
org.apache.hadoop.hive.metastore.StatObjectConverter_java,19,162
org.apache.hadoop.hive.ql.exec.OperatorFactory_java,19,162
org.apache.hadoop.hive.llap.tezplugins.LlapTaskSchedulerService_java,19,162
org.apache.hadoop.hive.ql.exec.vector.VectorMapOperator_java,19,162
org.apache.hive.service.cli.session.SessionManager_java,19,162
org.apache.hadoop.hive.hbase.HBaseStorageHandler_java,18,178
org.apache.hive.service.auth.HiveAuthFactory_java,18,178
org.apache.hadoop.hive.ql.exec.OperatorUtils_java,18,178
org.apache.hadoop.hive.ql.io.RCFile_java,18,178
org.apache.hadoop.hive.ql.exec.mr.MapRedTask_java,18,178
org.apache.hadoop.hive.ql.exec.tez.TestTezTask_java,18,178
org.apache.hadoop.hive.ql.exec.vector.udf.VectorUDFAdaptor_java,18,178
org.apache.hive.hcatalog.templeton.tool.LaunchMapper_java,18,178
org.apache.hive.jdbc.miniHS2.MiniHS2_java,18,178
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinCommonOperator_java,18,178
org.apache.hadoop.hive.ql.plan.ExprNodeDescUtils_java,18,178
org.apache.hadoop.hive.ql.exec.TestUtilities_java,18,178
org.apache.hadoop.hive.ql.metadata.formatting.MetaDataFormatUtils_java,18,178
org.apache.hadoop.hive.ql.optimizer.GenMRTableScan1_java,18,178
org.apache.hive.service.cli.operation.OperationManager_java,18,178
org.apache.hadoop.hive.ql.exec.spark.HiveSparkClientFactory_java,18,178
org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat_java,18,178
org.apache.hadoop.hive.ql.plan.ReduceWork_java,18,178
org.apache.hadoop.hive.ql.plan.GroupByDesc_java,17,196
org.apache.hadoop.hive.ql.metadata.TestHive_java,17,196
org.apache.hadoop.hive.ql.exec.persistence.MapJoinKey_java,17,196
org.apache.hadoop.hive.ql.parse.ColumnStatsSemanticAnalyzer_java,17,196
org.apache.hadoop.hive.ql.txn.compactor.Worker_java,17,196
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapperBatch_java,17,196
org.apache.hadoop.hive.serde2.typeinfo.TypeInfoUtils_java,17,196
org.apache.hadoop.hive.ql.lockmgr.zookeeper.ZooKeeperHiveLockManager_java,17,196
org.apache.hadoop.hive.ql.io.orc.VectorizedOrcInputFormat_java,17,196
org.apache.hadoop.hive.ql.exec.mr.HadoopJobExecHelper_java,17,196
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTypeCasts_java,17,196
org.apache.hive.hcatalog.listener.TestDbNotificationListener_java,17,196
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFSumDecimal_java,17,196
org.apache.hadoop.hive.ql.io.orc.OrcSplit_java,17,196
org.apache.hadoop.hive.llap.daemon.impl.TaskRunnerCallable_java,17,196
org.apache.hadoop.hive.metastore.txn.TestTxnHandler_java,17,196
org.apache.hadoop.hive.ql.io.orc.OrcRecordUpdater_java,17,196
org.apache.hadoop.hive.ql.plan.FileSinkDesc_java,17,196
org.apache.hadoop.hive.ql.exec.tez.CustomPartitionVertex_java,17,196
org.apache.hadoop.hive.metastore.hbase.HBaseStore_java,17,196
org.apache.hadoop.hive.llap.cache.LowLevelCacheMemoryManager_java,16,216
org.apache.hadoop.hive.ql.optimizer.BucketingSortingReduceSinkOptimizer_java,16,216
org.apache.hadoop.hive.ql.log.PerfLogger_java,16,216
org.apache.hadoop.hive.ql.optimizer.physical.TestVectorizer_java,16,216
org.apache.hadoop.hive.ql.io.HiveFileFormatUtils_java,16,216
org.apache.hadoop.hive.ql.exec.tez.TestTezSessionPool_java,16,216
org.apache.hadoop.hive.llap.io.decode.OrcColumnVectorProducer_java,16,216
org.apache.hadoop.hive.ql.exec.vector.VectorSMBMapJoinOperator_java,16,216
org.apache.hadoop.hive.ql.exec.vector.expressions.ColAndCol_java,16,216
org.apache.hadoop.hive.ql.metadata.formatting.TextMetaDataFormatter_java,16,216
org.apache.hadoop.hive.ql.processors.SetProcessor_java,16,216
org.apache.hadoop.hive.metastore.DummyRawStoreForJdoConnection_java,16,216
org.apache.hadoop.hive.ql.parse.SemanticAnalyzerFactory_java,16,216
org.apache.hadoop.hive.metastore.RetryingMetaStoreClient_java,15,229
org.apache.hadoop.hive.ql.optimizer.AbstractSMBJoinProc_java,15,229
org.apache.hadoop.hive.llap.cache.LowLevelLrfuCachePolicy_java,15,229
org.apache.hadoop.hive.ql.exec.vector.VectorFilterOperator_java,15,229
org.apache.hive.hcatalog.templeton.tool.TempletonUtils_java,15,229
org.apache.hadoop.hive.ql.exec.vector.VectorExpressionDescriptor_java,15,229
org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe_java,15,229
org.apache.hadoop.hive.shims.ShimLoader_java,15,229
org.apache.hadoop.hive.serde2.lazy.LazyUtils_java,15,229
org.apache.hadoop.hive.metastore.TestObjectStore_java,15,229
org.apache.hadoop.hive.ql.optimizer.metainfo.annotation.OpTraitsRulesProcFactory_java,15,229
org.apache.hadoop.hive.ql.io.orc.TestOrcRawRecordMerger_java,15,229
org.apache.hadoop.hive.ql.exec.FilterOperator_java,15,229
org.apache.hadoop.hive.ql.txn.compactor.Cleaner_java,15,229
org.apache.hadoop.hive.ql.optimizer.SimpleFetchOptimizer_java,15,229
org.apache.hadoop.hive.ql.plan.PartitionDesc_java,15,229
org.apache.hadoop.hive.ql.exec.UnionOperator_java,15,229
org.apache.hadoop.hive.ql.exec.vector.VectorSelectOperator_java,15,229
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinGenerateResultOperator_java,15,229
org.apache.hadoop.hive.ql.plan.AbstractOperatorDesc_java,15,229
org.apache.hadoop.hive.ql.exec.tez.RecordProcessor_java,15,229
org.apache.hadoop.hive.conf.TestHiveConf_java,15,229
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFSum_java,15,229
org.apache.hadoop.hive.ql.udf.UDFToInteger_java,15,229
org.apache.hadoop.hive.metastore.TestMetaStoreEventListener_java,15,229
org.apache.hadoop.hive.serde2.lazy.fast.LazySimpleDeserializeRead_java,15,229
org.apache.hadoop.hive.ql.exec.vector.VectorExtractRow_java,15,229
org.apache.hadoop.hive.ql.plan.HiveOperation_java,15,229
org.apache.hadoop.hive.ql.exec.vector.expressions.ColOrCol_java,15,229
org.apache.hadoop.hive.ql.parse.TestUpdateDeleteSemanticAnalyzer_java,15,229
org.apache.hadoop.hive.metastore.DummyRawStoreControlledCommit_java,15,229
org.apache.hadoop.hive.ql.udf.ptf.WindowingTableFunction_java,15,229
org.apache.hadoop.hive.llap.daemon.impl.ContainerRunnerImpl_java,15,229
org.apache.hadoop.hive.ql.plan.ConditionalResolverMergeFiles_java,15,229
org.apache.hadoop.hive.ql.metadata.SessionHiveMetaStoreClient_java,15,229
org.apache.hadoop.hive.ql.io.orc.FileDump_java,15,229
org.apache.hadoop.hive.ql.exec.spark.SparkUtilities_java,14,265
org.apache.hadoop.hive.ql.plan.ExprNodeGenericFuncDesc_java,14,265
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFAverage_java,14,265
org.apache.hadoop.hive.ql.parse.EximUtil_java,14,265
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddScalarCol_java,14,265
org.apache.hadoop.hive.metastore.api.Table_java,14,265
org.apache.hadoop.hive.serde2.avro.AvroDeserializer_java,14,265
org.apache.hadoop.hive.ql.exec.tez.MergeFileRecordProcessor_java,14,265
org.apache.hadoop.hive.ql.exec.AbstractMapJoinOperator_java,14,265
org.apache.hadoop.hive.ql.optimizer.physical.GenMRSkewJoinProcessor_java,14,265
org.apache.hadoop.hive.ql.io.orc.OrcStruct_java,14,265
org.apache.hadoop.hive.ql.io.rcfile.stats.PartialScanTask_java,14,265
org.apache.hadoop.hive.ql.exec.spark.SparkReduceRecordHandler_java,14,265
org.apache.hadoop.hive.ql.optimizer.GenMRUnion1_java,14,265
org.apache.hadoop.hive.llap.cache.LowLevelCacheImpl_java,14,265
org.apache.hadoop.hive.metastore.hbase.HBaseReadWrite_java,14,265
org.apache.hadoop.hive.ql.parse.QBParseInfo_java,14,265
org.apache.hadoop.hive.metastore.txn.TxnDbUtil_java,14,265
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFComputeStats_java,14,265
org.apache.hadoop.hive.ql.exec.PTFOperator_java,14,265
org.apache.hive.service.cli.thrift.ThriftHttpCLIService_java,14,265
org.apache.hadoop.hive.ql.metadata.HiveMetaStoreChecker_java,14,265
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffColScalar_java,14,265
org.apache.hadoop.hive.metastore.api.Partition_java,14,265
org.apache.hadoop.hive.serde2.SerDeUtils_java,14,265
org.apache.hadoop.hive.ql.exec.Registry_java,14,265
org.apache.hive.jdbc.ZooKeeperHiveClientHelper_java,14,265
org.apache.hadoop.hive.serde2.io.TimestampWritable_java,14,265
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffScalarCol_java,14,265
org.apache.hadoop.hive.ql.parse.spark.GenSparkUtils_java,14,265
org.apache.hadoop.hive.llap.security.SecretManager_java,13,295
org.apache.hadoop.hive.ql.index.compact.CompactIndexHandler_java,13,295
org.apache.hadoop.hive.ql.optimizer.ColumnPruner_java,13,295
org.apache.hive.hcatalog.templeton.Server_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddColCol_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddColScalar_java,13,295
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffColCol_java,13,295
org.apache.hadoop.hive.ql.io.TestAcidUtils_java,13,295
